doc_id,source,case_no,case_src,doctype,category,category_src,post_id,title,gate,bundled
output_법원 노동판례/근로기준/1219473_징계처분이 재량권을 남용한 경우에 해당하는지 판단하는 기준.md,crawl,2010다99279,body_head,prec,근로기준,folder,1219473,징계처분이 재량권을 남용한 경우에 해당하는지 판단하는 기준,editorial,0
output_법원 노동판례/근로기준/1223883_포괄임금제라도 근로시간 산정이 가능하다면 연장근로수당을 지급해야 한ᄃ.md,crawl,2011가단79826,body_head,prec,근로기준,folder,1223883,포괄임금제라도 근로시간 산정이 가능하다면 연장근로수당을 지급해야 한다,editorial,0
output_법원 노동판례/근로기준/1224617_특별상여금은 퇴직금 계산의 기초가 되는 평균임금에 포함하지 않는다는 ᄉ.md,crawl,2001다16722,body_head,prec,근로기준,folder,1224617,특별상여금은 퇴직금 계산의 기초가 되는 평균임금에 포함하지 않는다는 사례,editorial,0
output_법원 노동판례/근로기준/1226200_퇴직금 중간정산 합의가 없었던 일부 기간에 대한 퇴직금청구권 발생시ᄀ.md,crawl,2012다41045,body_head,prec,근로기준,folder,1226200,퇴직금 중간정산 합의가 없었던 일부 기간에 대한 퇴직금청구권 발생시기는 최종 퇴직 시점,editorial,0
output_법원 노동판례/근로기준/1231725_통상임금에서 제외키로 한 노사간 합의는 무효.md,crawl,2011가단394320,body_head,prec,근로기준,folder,1231725,통상임금에서 제외키로 한 노사간 합의는 무효,editorial,0
output_법원 노동판례/근로기준/1234269_퇴직금 분할 약정 효력과 그것이 무효화되기 위한 조건.md,crawl,2012다77006,body_head,prec,근로기준,folder,1234269,퇴직금 분할 약정 효력과 그것이 무효화되기 위한 조건,editorial,0
output_법원 노동판례/근로기준/1240907_통상임금에 포함되는 근로자의 급여는 급여의 성질에 따라 객관적으로 결저.md,crawl,2011가합30463,body_head,prec,근로기준,folder,1240907,통상임금에 포함되는 근로자의 급여는 급여의 성질에 따라 객관적으로 결정된다.,editorial,0
output_법원 노동판례/근로기준/1244836_징계해고시 징계 또는 해고되는 구체적 사실이 없다면 부당해고.md,crawl,2011다42324,body_head,prec,근로기준,folder,1244836,징계해고시 징계 또는 해고되는 구체적 사실이 없다면 부당해고,editorial,0
output_법원 노동판례/근로기준/1254311_미리 정해놓은 비율에 따라 분기별로 지급하는 상여금은 통상임금.md,crawl,2010다91046,body_head,prec,근로기준,folder,1254311,미리 정해놓은 비율에 따라 분기별로 지급하는 상여금은 통상임금,editorial,0
output_법원 노동판례/근로기준/1254317_종속관계에서 자신의 차량을 이용하여 근로를 제공하고 포괄적인 형태의 임ᄀ.md,crawl,2012도5385,body_head,prec,근로기준,folder,1254317,종속관계에서 자신의 차량을 이용하여 근로를 제공하고 포괄적인 형태의 임금을 받아온 경우 근로자에 해당,editorial,0
"output_법원 노동판례/근로기준/1254398_징계해고시 해고사유가 되는 구체적인 사실, 비위내용을 기재하지 않으면 무효.md",crawl,2012가합6991,body_head,prec,근로기준,folder,1254398,"징계해고시 해고사유가 되는 구체적인 사실, 비위내용을 기재하지 않으면 무효",editorial,0
output_법원 노동판례/근로기준/1267152_단체협약에서 산재사망 조합원 유족의 고용의무를 정한 것은 무효.md,crawl,2012가합2732,body_head,prec,근로기준,folder,1267152,단체협약에서 산재사망 조합원 유족의 고용의무를 정한 것은 무효,editorial,0
output_법원 노동판례/근로기준/1286883_계속적 정기적으로 지급된 능률성과급은 임금에 해당한다.md,crawl,2010가합4196,body_head,prec,근로기준,folder,1286883,계속적 정기적으로 지급된 능률성과급은 임금에 해당한다,editorial,0
output_법원 노동판례/근로기준/1301583_판례를 통해 살펴본 통상임금의 일률성.md,crawl,2004다41217,body_head,prec,근로기준,folder,1301583,판례를 통해 살펴본 통상임금의 일률성,editorial,0
output_법원 노동판례/근로기준/1315466_퇴직금지급의무는 영세사업장에 대한 차별이 아닌다(합헌).md,crawl,2012헌바186,body_head,detc,근로기준,folder,1315466,퇴직금지급의무는 영세사업장에 대한 차별이 아닌다(합헌),editorial,0
output_법원 노동판례/근로기준/1329675_휴직기간(파업기간)을 제외한 기간의 하기휴가비는 지급하여야 한다..md,crawl,2011가합54650,body_head,prec,근로기준,folder,1329675,휴직기간(파업기간)을 제외한 기간의 하기휴가비는 지급하여야 한다.,editorial,0
output_법원 노동판례/근로기준/1329678_문자메시지로 해고통보 한 것은 '해고의 서면통지'를 위반한 것.md,crawl,2012구합36941,body_head,prec,근로기준,folder,1329678,문자메시지로 해고통보 한 것은 '해고의 서면통지'를 위반한 것,editorial,0
output_법원 노동판례/근로기준/1357241_통상임금에 관한 대법원 전원합의체 판결문 및 판결 내용 해설.md,crawl,2012다89399,body_head,prec,근로기준,folder,1357241,통상임금에 관한 대법원 전원합의체 판결문 및 판결 내용 해설,editorial,0
output_법원 노동판례/근로기준/1397860_지급기간 만료전에 퇴직했더라도 근무한 기간에 해당하는 정기상여금은 청ᄀ.md,crawl,81다카174,body_head,prec,근로기준,folder,1397860,지급기간 만료전에 퇴직했더라도 근무한 기간에 해당하는 정기상여금은 청구할 수 있다,editorial,0
output_법원 노동판례/근로기준/1397869_단체협약에서 지급의무가 정해진 영업성과급은 임금에 해당한다.md,crawl,2000가합70373,body_head,prec,근로기준,folder,1397869,단체협약에서 지급의무가 정해진 영업성과급은 임금에 해당한다,editorial,0
output_법원 노동판례/근로기준/1397870_휴일근로시간은 모두 휴일근무시간임과 동시에 초과근무시간에 해당한다.md,crawl,2012나61504,body_head,prec,근로기준,folder,1397870,휴일근로시간은 모두 휴일근무시간임과 동시에 초과근무시간에 해당한다,editorial,0
output_법원 노동판례/근로기준/1405425_연차휴가 계산시 육아휴직기간의 처리 및 휴가일수.md,crawl,2011다4629,body_head,prec,근로기준,folder,1405425,연차휴가 계산시 육아휴직기간의 처리 및 휴가일수,editorial,0
output_법원 노동판례/근로기준/1414464_고용안정협약에 반하는 정리해고의 효력.md,crawl,2011두20406,body_head,prec,근로기준,folder,1414464,고용안정협약에 반하는 정리해고의 효력,editorial,0
output_법원 노동판례/근로기준/1417210_방과후학교 강사는 근로자이다.md,crawl,2013노865,body_head,prec,근로기준,folder,1417210,방과후학교 강사는 근로자이다,editorial,0
output_법원 노동판례/근로기준/1446908_부당해고기간 중에 지급받을 수 있는 임금에는 연차휴가수당도 포함된다..md,crawl,2011다95519,body_head,prec,근로기준,folder,1446908,부당해고기간 중에 지급받을 수 있는 임금에는 연차휴가수당도 포함된다.,editorial,0
output_법원 노동판례/근로기준/1471948_정기상여금이 통상임금에 해당하는지와 노사 신의성실의 원칙 위반 여부.md,crawl,2012다116871,body_head,prec,근로기준,folder,1471948,정기상여금이 통상임금에 해당하는지와 노사 신의성실의 원칙 위반 여부,editorial,0
output_법원 노동판례/근로기준/1744317_위탁판매원(야쿠르트 아주머니)는 근로자가 아니다..md,crawl,2015다253986,body_head,prec,근로기준,folder,1744317,위탁판매원(야쿠르트 아주머니)는 근로자가 아니다.,editorial,0
output_법원 노동판례/근로기준/1744323_아무때나 포괄임금제를 적용할 수 없다는 대법원 판례.md,crawl,2014도8873,body_head,prec,근로기준,folder,1744323,아무때나 포괄임금제를 적용할 수 없다는 대법원 판례,editorial,0
output_법원 노동판례/근로기준/1763849_회사의 포괄임금계약 주장을 인정하지 않는 사례.md,crawl,2015노1996,body_head,prec,근로기준,folder,1763849,회사의 포괄임금계약 주장을 인정하지 않는 사례,editorial,0
"output_법원 노동판례/근로기준/1777298_정년 기준은 실제 생년월일이며, 입사서류를 기준으로 하지 않는다.md",crawl,2016다249236,body_head,prec,근로기준,folder,1777298,"정년 기준은 실제 생년월일이며, 입사서류를 기준으로 하지 않는다",editorial,0
output_법원 노동판례/근로기준/1777301_소급적용하는 단체협약을 체결했더라도 퇴직한 근로자에게는 효력이 없다.md,crawl,2016다32193,body_head,prec,근로기준,folder,1777301,소급적용하는 단체협약을 체결했더라도 퇴직한 근로자에게는 효력이 없다,editorial,0
output_법원 노동판례/근로기준/1785574_정규직과 계약직의 근로조건 체계가 다른 경우 취업규칙 불이익변경에 대한 ᄃ.md,crawl,2016가합511776,body_head,prec,근로기준,folder,1785574,정규직과 계약직의 근로조건 체계가 다른 경우 취업규칙 불이익변경에 대한 동의방법,editorial,0
output_법원 노동판례/근로기준/1785575_업무의 성격과 기간제 근로계약의 제한.md,crawl,2016다255910,body_head,prec,근로기준,folder,1785575,업무의 성격과 기간제 근로계약의 제한,editorial,0
output_법원 노동판례/근로기준/1804863_[통상임금- 기아차] 근로자측이 상여금과 중식대를 통상임금에 가산하여 추가.md,crawl,2011가합105381,body_head,prec,근로기준,folder,1804863,[통상임금- 기아차] 근로자측이 상여금과 중식대를 통상임금에 가산하여 추가적인 법정수당의 지급을 구하더라도 회사측에 중대한 경영상 어려움을 초래한다고는 단정할 수 없다고 판시한 사례,editorial,0
output_법원 노동판례/근로기준/1896338_보험사가 위촉한 대출상담 텔레마케터도 근로자에 해당한다..md,crawl,2014가단5355819,body_head,prec,근로기준,folder,1896338,보험사가 위촉한 대출상담 텔레마케터도 근로자에 해당한다.,editorial,0
output_법원 노동판례/근로기준/1949775_월급근로자로서 6개월 미만자 해고예고 적용예외는 위헌(2014헌바3).md,crawl,2014헌바3,filename,detc,근로기준,folder,1949775,월급근로자로서 6개월 미만자 해고예고 적용예외는 위헌(2014헌바3),editorial,0
output_법원 노동판례/근로기준/1967856_일정한 지급주기에 따라 일정액이 확정적으로 지급된 상여금은 통상임금.md,crawl,2017나28858,body_head,prec,근로기준,folder,1967856,일정한 지급주기에 따라 일정액이 확정적으로 지급된 상여금은 통상임금에 해당한다,editorial,0
output_법원 노동판례/근로기준/1967869_기숙학원에서 한 특강시간은 소정근로시간에 포함된다.md,crawl,2018다260602,body_head,prec,근로기준,folder,1967869,기숙학원에서 한 특강시간은 소정근로시간에 포함된다,editorial,0
output_법원 노동판례/근로기준/2014다41520_휴일근로 판단에 관한 법리 및 휴일근로 여부 판단 사례.md,crawl,2014다41520,meta,prec,근로기준,folder,,휴일근로 판단에 관한 법리 및 휴일근로 여부 판단 사례,verbatim,1
output_법원 노동판례/근로기준/2015다20780_통상임금 해당 부정 사례.md,crawl,2015다20780,meta,prec,근로기준,folder,,통상임금 해당 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다233579_포괄임금제 성립 부정 사례.md,crawl,2015다233579,meta,prec,근로기준,folder,,포괄임금제 성립 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다254231_대학교수 재임용 거부 정당성 부정 사례.md,crawl,2015다254231,meta,prec,근로기준,folder,,대학교수 재임용 거부 정당성 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다44069_통상임금 해당 부정 사례.md,crawl,2015다44069,meta,prec,근로기준,folder,,통상임금 해당 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다61415_아시아나항공 통상임금 관련 소송에서 신의칙 적용 인정 사례.md,crawl,2015다61415,meta,prec,근로기준,folder,,아시아나항공 통상임금 관련 소송에서 신의칙 적용 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다71917_한국지엠 통상임금 관련 소송에서 신의칙 적용 인정 사례.md,crawl,2015다71917,meta,prec,근로기준,folder,,한국지엠 통상임금 관련 소송에서 신의칙 적용 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다75285_시간급 통상임금 산정 방식.md,crawl,2015다75285,meta,prec,근로기준,folder,,시간급 통상임금 산정 방식,verbatim,1
