case_no,case_alias,case_key,court,decided,title,doc_letec,doc_crawl,vec_chunks,vec_ctx,vec_dead,cited_code,cited_textbook,not_found,overlap,note
10인30,,10in30,,,,0,0,0,0,0,0,0,1,0,
12인250,,12in250,,,,0,0,0,0,0,0,0,1,0,
2000가합70373,,2000gahap70373,,2023.02.07,단체협약에서 지급의무가 정해진 영업성과급은 임금에 해당한다,0,1,0,7,0,0,0,0,0,
2000구합26810,,2000guhap26810,,,,0,0,0,0,0,0,0,1,0,
2000구합8546,,2000guhap8546,,,,0,0,0,0,0,0,0,1,0,
2000나8009,,2000na8009,,,,0,0,0,0,0,0,0,1,0,
2000나800912,,2000na800912,,,,0,0,0,0,0,0,0,1,0,
2000누13824,,2000nu13824,,,,0,0,0,0,0,0,0,1,0,
2000누16694,,2000nu16694,,,,0,0,0,0,0,0,0,1,0,
2000다15869,,2000da15869,대법원,2000.06.09,부당이득금,1,0,3,0,0,0,1,0,0,
2000다18127,,2000da18127,대법원,2002.05.31,임금,1,1,5,0,0,0,0,0,1,
2000다18127177,,2000da18127177,,,,0,0,0,0,0,0,0,1,0,
2000다18608,,2000da18608,대법원,2001.11.13,퇴직금,1,0,3,0,0,0,0,0,0,
2000다18608401,,2000da18608401,,,,0,0,0,0,0,0,0,1,0,
2000다18714,,2000da18714,,2023.02.04,퇴직금 산정시 통상 생활임금 반영돼야,0,1,0,5,0,0,0,0,0,
2000다2023,,2000da2023,대법원,2000.04.25,손해배상(자),1,0,4,0,0,0,1,0,0,
2000다22591,,2000da22591,대법원,2000.09.08,노임,1,0,3,0,0,0,0,0,0,
2000다23297,,2000da23297,,,,0,0,0,0,0,0,0,1,0,
2000다23815,,2000da23815,대법원,2002.10.25,해고무효확인,1,0,3,0,0,0,0,0,0,
2000다2381532,,2000da2381532,,,,0,0,0,0,0,0,0,1,0,
2000다2443,,2000da2443,대법원,2000.05.30,전부금,1,0,3,0,0,0,1,0,0,
2000다25910,,2000da25910,,2024.03.27,"경영악화로 입사취소하면 정당한 정리해고이지만, 임금은 지급해야",0,1,0,10,0,0,0,0,0,
2000다25910131,,2000da25910131,,,,0,0,0,0,0,0,0,1,0,
2000다27671,,2000da27671,,2024.03.19,퇴직금을 일당 속에 포함하여 지급하는 약정의 효력(무효)과 퇴직금 사전 포기 약정의 효력(무효),0,1,0,7,0,0,0,0,0,
2000다27671494,,2000da27671494,,,,0,0,0,0,0,0,0,1,0,
2000다29370,,2000da29370,대법원,2002.07.23,임금,1,0,4,0,0,0,0,0,0,
2000다3347,,2000da3347,대법원,2002.3.26.,,0,0,0,0,0,0,2,1,0,
2000다4005,,2000da4005,,,,0,0,0,0,0,0,0,1,0,
2000다45419,,2000da45419,대법원,2002.04.12,구상금,1,0,3,0,0,0,0,0,0,
2000다50701,,2000da50701,,2026.02.13,당기순이익 실현을 전제로 경영성과를 분배하는 특별성과급은 임금이 아니다,0,1,0,10,0,0,0,0,0,
2000다5070110,,2000da5070110,,,,0,0,0,0,0,0,0,1,0,
2000다507017,,2000da507017,,,,0,0,0,0,0,0,0,1,0,
2000다51476,,2000da51476,대법원,2000.11.28.,,0,0,0,0,0,0,3,1,0,
2000다51476128,,2000da51476128,,,,0,0,0,0,0,0,0,1,0,
2000다51476129,,2000da51476129,,,,0,0,0,0,0,0,0,1,0,
2000다51919,,2000da51919,대법원,2001.01.19,해고무효확인,1,0,3,0,0,0,1,0,0,
2000다5336,,2000da5336,대법원,2003.01.24,채무부존재확인·양수금,1,0,6,0,0,0,0,0,0,
2000다60630,,2000da60630,대법원,2001.09.18,임금,1,0,3,0,0,0,0,0,0,
2000다60630494,,2000da60630494,,,,0,0,0,0,0,0,0,1,0,
