case_no,file,line,context
2006다49372,app/core/citation_validator.py,184,docstring
2006다49653,wage_calculator/calculators/insurance.py,58,comment
2008다57852,wage_calculator/calculators/comprehensive.py,1,docstring
2008다57852,wage_calculator/calculators/comprehensive.py,60,data
2008다6052,wage_calculator/calculators/comprehensive.py,1,docstring
2008다6052,wage_calculator/calculators/comprehensive.py,59,data
2008다6052,wage_calculator/calculators/comprehensive.py,269,data
2008다6052,wage_calculator/calculators/comprehensive.py,286,data
2010다111757,build_graph.py,168,data
2012다89399,build_graph.py,162,data
2013다25194,build_graph.py,174,data
2013다4174,wage_calculator/calculators/ordinary_wage.py,1,docstring
2013다4174,wage_calculator/facade/registry.py,61,data
2013다4174,wage_calculator/legal_hints.py,106,data
2014도8873,wage_calculator/calculators/comprehensive.py,1,docstring
2014도8873,wage_calculator/calculators/comprehensive.py,58,data
2014도8873,wage_calculator/calculators/comprehensive.py,269,data
2014도8873,wage_calculator/calculators/comprehensive.py,276,data
2016다243078,wage_calculator/legal_hints.py,198,data
2016다243078,wage_calculator/legal_hints.py,219,data
2017다261387,build_graph.py,198,data
2017헌바127,app/core/legal_api.py,592,docstring
2018다200709,build_graph.py,180,data
2018다238518,wage_calculator/legal_hints.py,394,data
2019다293449,build_graph.py,192,data
2019다29778,wage_calculator/calculators/comprehensive.py,57,data
2020나2016258,build_graph.py,186,data
2020다300299,wage_calculator/calculators/comprehensive.py,1,docstring
2020다300299,wage_calculator/calculators/comprehensive.py,56,data
2020다300299,wage_calculator/calculators/comprehensive.py,191,data
2021다201143,wage_calculator/legal_hints.py,215,data
2021다201143,wage_calculator/legal_hints.py,219,data
2021헌마1234,app/core/citation_validator.py,53,comment
2021헌마1234,app/core/legal_api.py,592,docstring
2022다291153,wage_calculator/calculators/ordinary_wage.py,175,docstring
2022다291153,wage_calculator/calculators/weekly_holiday.py,1,docstring
2022다291153,wage_calculator/calculators/weekly_holiday.py,83,comment
2022다291153,wage_calculator/calculators/weekly_holiday.py,91,data
2022다291153,wage_calculator/calculators/weekly_holiday.py,98,data
2022다291153,wage_calculator/calculators/working_hours.py,31,docstring
2022다291153,wage_calculator/calculators/working_hours.py,47,comment
2023다302579,wage_calculator/calculators/severance.py,1,docstring
2023다302579,wage_calculator/calculators/severance.py,55,docstring
2023다302579,wage_calculator/calculators/severance.py,89,comment
2023다302579,wage_calculator/calculators/severance.py,91,data
2023다302579,wage_calculator/calculators/severance.py,102,data
2023다302579,wage_calculator/calculators/severance.py,107,data
2023다302579,wage_calculator/calculators/severance.py,116,comment
2023다302579,wage_calculator/calculators/severance.py,130,data
2023다302579,wage_calculator/calculators/severance.py,134,data
2023다302579,wage_calculator/calculators/severance.py,226,docstring
2023다302579,wage_calculator/models.py,229,comment
2023다302579,wage_calculator_cli.py,235,cli_case
2023다302579,wage_calculator_cli.py,248,cli_case
2023다302838,app/core/citation_validator.py,53,comment
2023다302838,app/core/citation_validator.py,69,docstring
2023다302838,app/core/citation_validator.py,184,docstring
2023다302838,app/core/legal_api.py,592,docstring
2023다302838,app/templates/prompts.py,412,data
2023다302838,build_graph.py,156,data
2023다302838,wage_calculator/calculators/ordinary_wage.py,1,docstring
2023다302838,wage_calculator/calculators/ordinary_wage.py,92,comment
2023다302838,wage_calculator/calculators/ordinary_wage.py,141,docstring
2023다302838,wage_calculator/calculators/ordinary_wage.py,158,comment
2023다302838,wage_calculator/calculators/ordinary_wage.py,162,data
2023다302838,wage_calculator/calculators/ordinary_wage.py,164,comment
2023다302838,wage_calculator/calculators/ordinary_wage.py,167,data
2023다302838,wage_calculator/constants.py,6,comment
2023다302838,wage_calculator/constants.py,9,data
2023다302838,wage_calculator/facade/registry.py,62,data
2023다302838,wage_calculator/legal_hints.py,71,data
2023다302838,wage_calculator/legal_hints.py,89,data
2023다302838,wage_calculator/legal_hints.py,116,data
2023다302838,wage_calculator/models.py,35,docstring
2023다302838,wage_calculator/models.py,45,comment
2023다302838,wage_calculator/models.py,46,comment
2023다302838,wage_calculator_cli.py,182,cli_case
96다24699,wage_calculator/calculators/comprehensive.py,61,data
