사건번호,사유
005두4403,검색 정확일치 없음
10인30,검색 정확일치 없음
12인250,검색 정확일치 없음
1992다28556,검색 정확일치 없음
1993다4816,검색 정확일치 없음
2000구합26810,검색 정확일치 없음
2000구합8546,검색 정확일치 없음
2000나8009,검색 정확일치 없음
2000나800912,검색 정확일치 없음
2000누13824,검색 정확일치 없음
2000누16694,검색 정확일치 없음
2000다18127177,검색 정확일치 없음
2000다18608401,검색 정확일치 없음
2000다23297,검색 정확일치 없음
2000다2381532,검색 정확일치 없음
2000다25910131,검색 정확일치 없음
2000다27671494,검색 정확일치 없음
2000다3347,검색 정확일치 없음
2000다4005,검색 정확일치 없음
2000다5070110,검색 정확일치 없음
2000다507017,검색 정확일치 없음
2000다51476,검색 정확일치 없음
2000다51476128,검색 정확일치 없음
2000다51476129,검색 정확일치 없음
2000다60630494,검색 정확일치 없음
2000다60890426,검색 정확일치 없음
2000다62322913,검색 정확일치 없음
2000다65383,검색 정확일치 없음
2000다8127,검색 정확일치 없음
2000도2871731,검색 정확일치 없음
2000도4169,검색 정확일치 없음
2000도4169648,검색 정확일치 없음
2000도4299600,검색 정확일치 없음
2000도571660,검색 정확일치 없음
2000두10151,검색 정확일치 없음
2000두10601,검색 정확일치 없음
2000두1270,검색 정확일치 없음
2000두1447,검색 정확일치 없음
2000두1454,검색 정확일치 없음
2000두3634,검색 정확일치 없음
2000두3689,검색 정확일치 없음
2000두3689362,검색 정확일치 없음
2000두4606,검색 정확일치 없음
2000두460646,검색 정확일치 없음
2000두4606467,검색 정확일치 없음
2000두4637,검색 정확일치 없음
2000두4637723,검색 정확일치 없음
2000두5708,검색 정확일치 없음
2000두6626,검색 정확일치 없음
2000두7186,검색 정확일치 없음
2000두7988,검색 정확일치 없음
2000두8011336,검색 정확일치 없음
2000두8455404,검색 정확일치 없음
2000두9063,검색 정확일치 없음
2000두9113,검색 정확일치 없음
2000두9373455,검색 정확일치 없음
2000두9455,검색 정확일치 없음
