사건번호,법원,게시글ID
2000다18127,대법원,944370
2001다16722,대법원,1224617
2001다53875,대법원,403768
2001다63599,대법원,2238665
2001다71528,대법원,403681
2001다76328,대법원,403688
2002다23185,대법원,403689
2002다52312,대법원,403693
2002다57362,대법원,403694
2002다60528,대법원,814193
2002다62432,대법원,403722
2002도3883,대법원,403686
2003다48549,대법원,403706
2003다54322,대법원,403727
2003다63029,대법원,403701
2003다69393,대법원,403718
2004다22742,대법원,403715
2004다29736,대법원,2123414
2004다34790,대법원,439374
2004다41217,대법원,403711
2005다28358,대법원,403749
2005다30580,대법원,403733
2005다3991,대법원,403737
2005다45827,대법원,403713
2005다75088,대법원,403755
2005도9230,대법원,403719
2005두13018,대법원,403739
2005두9873,대법원,403720
2006다17287,대법원,403793
2006다33531,대법원,403731
2006다37274,대법원,403767
2006다49901,대법원,403734
2006다53627,대법원,2285302
2006도7660,대법원,403763
2007다1418,대법원,403754
2007다590,대법원,403776
2007다62840,대법원,403777
2007다72519,대법원,423257
2007다73277,대법원,438976
2007다90760,대법원,495764
2007도1199,대법원,2236876
2007두10440,대법원,423255
2007두15797,대법원,623189
2007두1729,대법원,822912
2007두18406,대법원,612510
2007두22320,대법원,403760
2007두22498,대법원,403756
2008다41666,대법원,403766
2008다6052,대법원,502935
2008다9150,대법원,610521
2008두22211,대법원,403783
2009다32362,대법원,451480
2009다51158,대법원,437747
2009다82244,대법원,471576
2009다97611,대법원,634793
2009다99396,대법원,487824
2009도13833,대법원,487820
2009두1440,대법원,414577
2009두157,대법원,403788
2009두16763,대법원,952737
2009두2238,대법원,403791
2009두6605,대법원,448570
2010다101011,대법원,1247992
2010다21962,대법원,814142
2010다77514,대법원,2382832
2010다91046,대법원,1254311
2010다99279,대법원,1219473
2011다20034,대법원,937417
2011다23149,대법원,937411
2011다42324,대법원,1244836
2011다4629,대법원,1405425
2011다68777,대법원,922173
2011다95519,대법원,1446908
2011두7045,대법원,1227547
2012다12870,대법원,2238634
2012다89399,대법원,1357241
2012두18585,대법원,1237864
2013다25194,대법원,2382534
2013다71180,대법원,2285258
2013두24860,대법원,403682
2013두25276,대법원,1763837
2014다232296,대법원,2389505
2014다28305,대법원,2385659
2014도8873,대법원,1744323
2015다253986,대법원,1744317
2015다254231,대법원,
2015다66052,대법원,2389249
2015다73067,대법원,
2015두36157,대법원,2038092
2016다13437,대법원,
2016다200200,대법원,2385618
2016다236407,대법원,
2016다239024,대법원,
2016다2451,대법원,2283988
