사건번호,법원,날짜,인용횟수
90누9421,대법원,1992.5.12.,18
77다355,대법원,1977.7.26.,7
2001다29452,대법원,2002.7.9.,6
97누5435,대법원,1998.12.22.,4
91다17931,대법원,1992.4.24.,4
2015두46321,대법원,2019.3.14.,4
2003두12912,대법원,2004.9.3.,4
2009다86246,대법원,2011.10.13.,4
2002다11458,대법원,2003.4.25.,4
2013다14965,대법원,2015.11.26.,3
2010다41089,대법원,2010.9.30.,3
99다10806,대법원,2000.12.22.,3
94누11767,대법원,1995.3.3.,3
2000두8455,대법원,2002.3.29.,3
91다43138,대법원,1992.4.10.,3
2013다60807,대법원,2018.7.12.,3
2000대8127,대법원,2002.5.31.,3
2000다51476,대법원,2000.11.28.,3
90다카13465,대법원,1990.12.26.,3
2011다101308,대법원,2012.3.29.,3
2010다52041,대법원,2013.2.28.,3
2015두36126,대법원,2015.11.26.,3
94다25889,대법원,1994.10.25.,3
2016두47857,대법원,2019.9.30.,3
2003다50580,대법원,2005.7.15.,3
97누5732,대법원,1997.10.10.,3
2018두44647,대법원,2019.11.28.,3
2009다63205,대법원,2011.11.10.,3
98두7787,대법원,1999.12.21.,3
97다5015,대법원,1999.5.12.,3
2014두45765,대법원,2016.11.10.,3
92누8200,대법원,1993.1.26.,3
96다1726,대법원,1997.8.26.,3
2013두26750,대법원,2017.3.15.,2
98두4672,대법원,1999.3.26.,2
2016두64876,대법원,2021.7.29.,2
2002다16958,대법원,2002.6.14.,2
2004다26799,대법원,2005.10.13.,2
94다27960,대법원,1994.12.13.,2
2004다44506,대법원,2006.9.28.,2
99다53865,대법원,1999.12.21.,2
96다2644,대법원,1997.6.24.,2
94누15783,대법원,1995.12.5.,2
2006다32910,대법원,2008.4.10,2
99다48986,대법원,2000.1.18.,2
94다19228,대법원,1995.2.10.,2
99두4280,대법원,2000.11.24.,2
92다34858,대법원,1993.12.28.,2
2012다108139,대법원,2016.6.23.,2
90헌바19,헌법재판소,1996.12.26.,2
95다45934,대법원,1996.12.6.,2
2001다24051,대법원,2001.10.30.,2
94다24763,대법원,1995.5.23.,2
94다52119,대법원,1995.12.22.,2
93다21736,대법원,1993.9.24.,2
2000두9373,대법원,2002.7.9.,2
87다카2132,대법원,1989.5.23.,2
2013다1051,대법원,2015.10.29.,2
2015다204762,대법원,2015.8.19.,2
2011다60193,대법원,2013.6.13.,2
95누15926,대법원,1996.10.29.,2
94다26721,대법원,1995.12.21.,2
96다33556,대법원,1997.4.8.,2
93다37915,대법원,1993.11.9.,2
2001두11076,대법원,2002.6.14.,2
99다34475,대법원,2000.4.25.,2
2011두2132,대법원,2012.3.29.,2
93다17898,대법원,1993.8.24.,2
2014다5098,대법원,2016.8.24.,2
95다10778,대법원,1995.8.11.,2
91다44100,대법원,1992.7.24.,2
94다52928,대법원,1995.10.13.,2
2005두8436,대법원,2007.1.25.,2
96누5087,대법원,1997.7.8.,2
94누12067,대법원,1995.9.15.,2
90다9353,대법원,1991.7.12.,2
2018두54705,대법원,2020.11.5.,2
2015두48136,대법원,2015.11.27.,2
2001다12669,대법원,2003.7.25.,2
95다4056,대법원,1997.4.25.,2
94다9092,대법원,1994.9.30.,2
2015다65561,대법원,2019.6.18.,2
91누10466,대법원,1992.5.12.,2
98다54960,대법원,2000.6.23.,2
94다4011,대법원,1995.4.11.,2
95누17571,대법원,1996.11.26.,2
2010다100919,대법원,2012.1.27.,2
89다카24445,대법원,1990.3.13.,2
2013다69385,대법원,2014.1.16.,2
2010다95147,대법원,2012.10.11.,2
2020도다296321,대법원,2021.7.8.,2
91다37256,대법원,1992.7.14,2
92누3076,대법원,1993.1.26.,2
2011헌바395,헌법재판소,2013.7.25.,2
2011다60247,대법원,2013.11.28.,2
2011두11310,대법원,2012.5.24.,2
2004헌마670,헌법재판소,2007.8.30.,2
93누23275,대법원,1994.12.13.,2
92누11114,대법원,1992.11.13.,2
2001다25184,대법원,2001.10.23.,2
2009다88303,대법원,2012.5.24.,2
87다카2803,대법원,1988.12.13.,2
91다19210,대법원,1992.6.23.,2
97누1600,대법원,1997.9.26.,2
2008다70336,대법원,2009.2.12.,2
95다6823,대법원,1996.4.23.,2
2008두4367,대법원,2010.7.22.,2
92누6099,대법원,1992.7.28.,2
2014두43288,대법원,2016.12.1.,2
2007도3192,대법원,2007.8.23.,2
2019다261084,대법원,2019.11.28.,2
2017다219072,대법원,2019.8.29.,2
2000다3347,대법원,2002.3.26.,2
2012두25873,대법원,2015.5.28.,2
2013도7896,대법원,2017.7.11.,2
90도357,대법원,1990.5.15.,2
2000두3689,대법원,2001.12.14.,2
92다893,대법원,1994.2.8.,2
2012두2207,대법원,2014.9.24.,2
94다4042,대법원,1994.9.30.,2
2015다232859,대법원,2017.3.22.,2
84다카1409,대법원,1987.2.24.,2
2012다14517,대법원,2014.11.13.,2
92다39860,대법원,1992.12.8.,2
2003다10650,대법원,2003.4.22.,2
